avg_ct,avg_lt,avg_rt,concurrency,fail,stdev_rt,succ,throughput,perc_95.0,perc_0.0,perc_99.9,perc_90.0,perc_100.0,perc_99.0,perc_50.0,rc_200,label
0.00090,0.01233,0.54358,1,0,1.00233,2195,2195,0.86300,0.22500,5.57000,0.72500,5.57300,2.38500,0.43500,2195,
0.00090,0.01233,0.54358,1,0,1.00233,2195,2195,0.86300,0.22500,5.57000,0.72500,5.57300,2.38500,0.43500,2195,http://localhost/SimpleTravel/login.php
